zip_code,state_id,city_ascii,county_fips,population_city,homicides_window,years_window,murder_rate_per_100k_annual,crime_proxy
95476,CA,Sonoma,6097,10670,92,10,75.0,1.0
45015,OH,Hamilton,39017,63468,789,10,75.0,1.0
48184,MI,Wayne,26163,17310,4031,10,75.0,1.0
98290,WA,Snohomish,53061,10239,122,10,75.0,1.0
33775,FL,Seminole,12103,19396,157,10,75.0,1.0
33778,FL,Seminole,12103,19396,157,10,75.0,1.0
33772,FL,Seminole,12103,19396,157,10,75.0,1.0
87004,NM,Bernalillo,35043,9086,580,10,75.0,1.0
33777,FL,Seminole,12103,19396,157,10,75.0,1.0
93943,CA,Monterey,6053,29613,364,10,75.0,1.0
45011,OH,Hamilton,39017,63468,789,10,75.0,1.0
45013,OH,Hamilton,39017,63468,789,10,75.0,1.0
33480,FL,Palm Beach,12099,9348,923,10,75.0,1.0
70121,LA,Jefferson,22051,9703,557,10,75.0,1.0
93944,CA,Monterey,6053,29613,364,10,75.0,1.0
63755,MO,Jackson,29031,15659,1161,10,75.0,1.0
19721,DE,New Castle,10003,5579,363,10,75.0,1.0
13421,NY,Oneida,36053,10171,81,10,75.0,1.0
19720,DE,New Castle,10003,5579,363,10,75.0,1.0
45242,OH,Montgomery,39061,10855,391,10,75.0,1.0
93940,CA,Monterey,6053,29613,364,10,75.0,1.0
76230,TX,Bowie,48337,5770,71,10,75.0,1.0
98291,WA,Snohomish,53061,10239,122,10,75.0,1.0
45249,OH,Montgomery,39061,10855,391,10,75.0,1.0
78557,TX,Hidalgo,48215,14498,366,10,75.0,1.0
08846,NJ,Middlesex,34023,14645,146,10,75.0,1.0
32615,FL,Alachua,12001,10743,97,10,75.0,1.0
32616,FL,Alachua,12001,10743,97,10,75.0,1.0
94501,CA,Alameda,6001,77238,1417,10,75.0,1.0
94502,CA,Alameda,6001,77238,1417,10,75.0,1.0
85138,AZ,Maricopa,4021,72459,2726,10,75.0,1.0
85139,AZ,Maricopa,4021,72459,2726,10,75.0,1.0
29745,SC,York,45091,8969,97,10,75.0,1.0
42134,KY,Franklin,21213,10360,284,10,75.0,1.0
42135,KY,Franklin,21213,10360,284,10,75.0,1.0
45005,OH,Franklin,39165,11712,994,10,75.0,1.0
16323,PA,Franklin,42121,5984,47,10,75.0,1.0
46953,IN,Marion,18053,27531,1241,10,75.0,1.0
46952,IN,Marion,18053,27531,1241,10,75.0,1.0
29532,SC,Darlington,45031,6120,75,10,75.0,1.0
76520,TX,Cameron,48331,5416,114,10,75.0,1.0
08104,NJ,Camden,34007,71496,532,10,74.4098,0.992129
08103,NJ,Camden,34007,71496,532,10,74.4098,0.992129
08101,NJ,Camden,34007,71496,532,10,74.4098,0.992129
08102,NJ,Camden,34007,71496,532,10,74.4098,0.992129
08105,NJ,Camden,34007,71496,532,10,74.4098,0.992129
18067,PA,Northampton,42095,10400,77,10,74.0385,0.987177
29118,SC,Orangeburg,45075,13253,96,10,72.4364,0.965812
29117,SC,Orangeburg,45075,13253,96,10,72.4364,0.965812
29115,SC,Orangeburg,45075,13253,96,10,72.4364,0.965812
29536,SC,Dillon,45033,6354,45,10,70.8215,0.944276
34441,FL,Hernando,12017,9299,65,10,69.9,0.931987
34434,FL,Hernando,12017,9299,65,10,69.9,0.931987
34442,FL,Hernando,12017,9299,65,10,69.9,0.931987
55303,MN,Ramsey,27003,28421,196,10,68.9631,0.919492
48079,MI,St. Clair,26147,5585,37,10,66.2489,0.883296
29720,SC,Lancaster,45057,8921,58,10,65.0151,0.866843
92407,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92401,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92369,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92404,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92411,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92410,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92415,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92403,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92346,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92406,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92413,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92418,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92423,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92427,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92408,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
92405,CA,San Bernardino,6071,222724,1407,10,63.1724,0.842268
22037,VA,Fairfax,51600,25026,155,10,61.9356,0.825774
22030,VA,Fairfax,51600,25026,155,10,61.9356,0.825774
22031,VA,Fairfax,51600,25026,155,10,61.9356,0.825774
29706,SC,Chester,45023,5218,32,10,61.3262,0.817647
93275,CA,Tulare,6107,70945,418,10,58.9189,0.785544
93274,CA,Tulare,6107,70945,418,10,58.9189,0.785544
92863,CA,Orange,6059,138266,751,10,54.3156,0.724155
92857,CA,Orange,6059,138266,751,10,54.3156,0.724155
92856,CA,Orange,6059,138266,751,10,54.3156,0.724155
92865,CA,Orange,6059,138266,751,10,54.3156,0.724155
92864,CA,Orange,6059,138266,751,10,54.3156,0.724155
92867,CA,Orange,6059,138266,751,10,54.3156,0.724155
92866,CA,Orange,6059,138266,751,10,54.3156,0.724155
92869,CA,Orange,6059,138266,751,10,54.3156,0.724155
92868,CA,Orange,6059,138266,751,10,54.3156,0.724155
29571,SC,Marion,45067,6206,33,10,53.1743,0.708935
29360,SC,Laurens,45059,9336,48,10,51.4139,0.685458
29625,SC,Anderson,45007,30051,153,10,50.9134,0.678784
29621,SC,Anderson,45007,30051,153,10,50.9134,0.678784
29624,SC,Anderson,45007,30051,153,10,50.9134,0.678784
29622,SC,Anderson,45007,30051,153,10,50.9134,0.678784
77575,TX,Liberty,48291,8650,42,10,48.5549,0.647331
77535,TX,Liberty,48291,8650,42,10,48.5549,0.647331
75785,TX,Rusk,48073,5477,26,10,47.4712,0.632879
08079,NJ,Salem,34033,5322,25,10,46.9748,0.626259
28380,NC,Rockingham,37153,8967,42,10,46.8384,0.62444
28379,NC,Rockingham,37153,8967,42,10,46.8384,0.62444
29071,SC,Lexington,45063,24585,112,10,45.5562,0.607341
29072,SC,Lexington,45063,24585,112,10,45.5562,0.607341
12144,NY,Rensselaer,36083,9287,42,10,45.2245,0.602917
75142,TX,Kaufman,48257,8538,38,10,44.5069,0.593347
99811,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99812,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99803,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99821,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99824,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99802,AK,Juneau,2110,31794,139,10,43.7189,0.582839
99801,AK,Juneau,2110,31794,139,10,43.7189,0.582839
46304,IN,Porter,18127,5217,22,10,42.1698,0.56218
15501,PA,Somerset,42111,5944,25,10,42.0592,0.560705
15301,PA,Washington,42125,13368,56,10,41.8911,0.558463
75002,TX,Parker,48085,5999,24,10,40.0067,0.533332
34974,FL,Okeechobee,12093,5479,21,10,38.3282,0.510948
34972,FL,Okeechobee,12093,5479,21,10,38.3282,0.510948
